model,UPPAAL_RWTBS,UPPAAL_Parallel,RWTBS_Parallel
assets/syn_eval/s_1.xml,1.7689548171403116,9.166402234272523,5.181818181818182
assets/syn_eval/m_1.xml,0.6717458118995031,3.250382960804047,4.838709677419355
assets/syn_eval/l_1.xml,0.4448729940579326,1.905399427380202,4.283018867924528
assets/syn_eval/xl_1.xml,0.3380290478667288,1.7130624629178293,5.067796610169491
assets/syn_eval/xxl_1.xml,0.15734832053902367,0.8200022232968632,5.211382113821138
assets/syn_eval/s_3.xml,1.1335240070069776,4.585619846528227,4.045454545454546
assets/syn_eval/m_3.xml,6.777045392506832,29.500079943853265,4.352941176470588
assets/syn_eval/l_3.xml,1.6204845460672532,6.379050276582203,3.9365079365079363
assets/syn_eval/xl_3.xml,1.8589129050572712,5.4555052648419915,2.9347826086956523
assets/syn_eval/xxl_3.xml,0.3190672706972023,1.184302634176086,3.711764705882353
assets/syn_eval/s_5.xml,314.6146205221785,814.627142423498,2.5892857142857144
assets/syn_eval/m_5.xml,194596.29007523527,900007.8415979631,4.625
assets/syn_eval/l_5.xml,93995.59703372983,439028.21541364054,4.670731707317073
assets/syn_eval/xl_5.xml,69231.37243061255,216869.35942119593,3.1325301204819276
assets/syn_eval/xxl_5.xml,37422.36347600678,145750.25774865798,3.8947368421052633
assets/syn_eval/s_7.xml,201119.0707481482,375003.26733248465,1.8645833333333333
assets/syn_eval/m_7.xml,165900.06296736648,765964.1205089048,4.617021276595745
assets/syn_eval/l_7.xml,85715.03253313934,375003.26733248465,4.375
assets/syn_eval/xl_7.xml,54962.31093728019,236844.16884156925,4.309210526315789
assets/syn_eval/xxl_7.xml,26986.741877000393,84906.40015075124,3.1462264150943398
