model_name,aligned,label_pairs_E,initial_pairs,final_pairs,smt_calls,fixpoint_iters,time_ms
CS1_aligned,true,16,1,3817,180,3817,28.530
CS1_thresh_drift,false,14,1,0,180,1,11.881
CS1_evo_v2,true,16,1,3817,180,3817,28.207
